docker compose logs -t -f
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.635368305Z 2025-11-16 19:56:28 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851c4a00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.635401514Z 2025-11-16 19:56:28 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851c4a00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.463129138Z DEBUG: Read TIMEOUTS.startup-timeout: 5.0 -> 5.0
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.463151680Z DEBUG: Read TIMEOUTS.consumer-graceful-shutdown: 5.0 -> 5.0
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.463154138Z DEBUG: Read TIMEOUTS.consumer-thread-join: 2.0 -> 2.0
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.463155847Z DEBUG: Read TIMEOUTS.consumer-force-stop: 2.0 -> 2.0
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.463157722Z DEBUG: Read TIMEOUTS.data-events-time-limit: 0.1 -> 0.1
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.471995263Z 2025-11-16 19:56:27,468 [INFO] Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.472049347Z 2025-11-16 19:56:27,470 [INFO] Socket connected: <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.78', 50290), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.472058638Z 2025-11-16 19:56:27,471 [INFO] Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabeb3ee0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabeb3ee0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.481355055Z 2025-11-16 19:56:27,479 [INFO] AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabeb3ee0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.481369680Z 2025-11-16 19:56:27,479 [INFO] AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabeb3ee0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.481372430Z 2025-11-16 19:56:27,480 [INFO] Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabeb3ee0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.481375138Z 2025-11-16 19:56:27,481 [INFO] Created channel=1
