docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:13.442385066Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3389
joiner_q1                          | 2025-10-01T02:58:13.442398764Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 3029
joiner_q1                          | 2025-10-01T02:58:13.511953393Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2668
joiner_q1                          | 2025-10-01T02:58:13.511964598Z Wrote 41 rows to /app/output/q1_unsorted.csv. Total rows written: 3070
joiner_q1                          | 2025-10-01T02:58:13.689601297Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3075
joiner_q1                          | 2025-10-01T02:58:13.689617288Z Wrote 47 rows to /app/output/q1_unsorted.csv. Total rows written: 3117
joiner_q1                          | 2025-10-01T02:58:13.867628545Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3604
joiner_q1                          | 2025-10-01T02:58:13.868190686Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 3172
joiner_q1                          | 2025-10-01T02:58:13.886154151Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3145
joiner_q1                          | 2025-10-01T02:58:13.887702636Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 3220
joiner_q1                          | 2025-10-01T02:58:13.933646399Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3525
joiner_q1                          | 2025-10-01T02:58:13.933661119Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 3274
joiner_q1                          | 2025-10-01T02:58:14.082514878Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3457
joiner_q1                          | 2025-10-01T02:58:14.086905806Z Wrote 53 rows to /app/output/q1_unsorted.csv. Total rows written: 3327
joiner_q1                          | 2025-10-01T02:58:14.182709570Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3060
joiner_q1                          | 2025-10-01T02:58:14.182720735Z Wrote 47 rows to /app/output/q1_unsorted.csv. Total rows written: 3374
joiner_q1                          | 2025-10-01T02:58:14.259754963Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3958
joiner_q1                          | 2025-10-01T02:58:14.259769663Z Wrote 60 rows to /app/output/q1_unsorted.csv. Total rows written: 3434
